severity,toxicity,dangerous,dangerous_key,lookalike,lookalike_key,character,dangerous_described,lookalike_described,verdict,REVIEW_states_for_undescribed_side,REVIEW_notes,REVIEWER
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe insipida,hygrocybe-insipida,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe insipida,hygrocybe-insipida,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe insipida,hygrocybe-insipida,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe insipida,hygrocybe-insipida,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe punicea,hygrocybe-punicea,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe punicea,hygrocybe-punicea,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe punicea,hygrocybe-punicea,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe punicea,hygrocybe-punicea,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe quieta,hygrocybe-quieta,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe quieta,hygrocybe-quieta,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe quieta,hygrocybe-quieta,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe quieta,hygrocybe-quieta,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe reidii,hygrocybe-reidii,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe reidii,hygrocybe-reidii,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe reidii,hygrocybe-reidii,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Hygrocybe reidii,hygrocybe-reidii,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Infundibulicybe geotropa,infundibulicybe-geotropa,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Infundibulicybe geotropa,infundibulicybe-geotropa,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Infundibulicybe geotropa,infundibulicybe-geotropa,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Infundibulicybe gibba,infundibulicybe-gibba,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Infundibulicybe gibba,infundibulicybe-gibba,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Inocybe geophylla,inocybe-geophylla,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Inocybe geophylla,inocybe-geophylla,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Inocybe geophylla,inocybe-geophylla,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Marasmius oreades,marasmius-oreades,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Marasmius oreades,marasmius-oreades,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Paralepista flaccida,paralepista-flaccida,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Paralepista flaccida,paralepista-flaccida,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Paralepista flaccida,paralepista-flaccida,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Paxillus involutus,paxillus-involutus,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Paxillus involutus,paxillus-involutus,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Paxillus involutus,paxillus-involutus,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius orellanus,cortinarius-orellanus,Cantharellus cibarius,cantharellus-cibarius,cap_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius orellanus,cortinarius-orellanus,Cantharellus cibarius,cantharellus-cibarius,cortina,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius orellanus,cortinarius-orellanus,Cantharellus cibarius,cantharellus-cibarius,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius orellanus,cortinarius-orellanus,Cantharellus cibarius,cantharellus-cibarius,spore_print_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius orellanus,cortinarius-orellanus,Cortinarius anomalus,cortinarius-anomalus,gill_type,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius orellanus,cortinarius-orellanus,Cortinarius rubellus,cortinarius-rubellus,cap_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius orellanus,cortinarius-orellanus,Lepista nuda,lepista-nuda,cap_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius orellanus,cortinarius-orellanus,Lepista nuda,lepista-nuda,gill_type,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius orellanus,cortinarius-orellanus,Lepista nuda,lepista-nuda,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius rubellus,cortinarius-rubellus,Armillaria mellea,armillaria-mellea,cortina,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius rubellus,cortinarius-rubellus,Armillaria mellea,armillaria-mellea,gill_type,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius rubellus,cortinarius-rubellus,Armillaria mellea,armillaria-mellea,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius rubellus,cortinarius-rubellus,Cantharellus cibarius,cantharellus-cibarius,cortina,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius rubellus,cortinarius-rubellus,Cantharellus cibarius,cantharellus-cibarius,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Cortinarius rubellus,cortinarius-rubellus,Cantharellus cibarius,cantharellus-cibarius,spore_print_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
